"artistName","trackName","trackID","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"Ariana Grande","pov","3UoULw70kMsiVXxW0L3A33",0.487,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.173,131.798,201882,4
"keshi","War With Heaven","14gmLQPNYokqB8OKxAp69f",0.622,0.671,5,-6.426,1,0.026,0.014,0,0.304,0.572,84.996,193373,4
"Ariana Grande","obvious","0q85C1JiECyYIQthz1posA",0.624,0.672,0,-5.334,1,0.106,0.0967,0,0.155,0.26,159.852,146959,4
"NIKI","lowkey","7ipqVwkp2MhZv0Ojzqy1NV",0.752,0.494,0,-8.18,1,0.056,0.432,0,0.0869,0.226,117.901,171356,4
"Ariana Grande","Stuck with U (with Justin Bieber)","4HBZA5flZLE435QTztThqH",0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,3
"BENEE","Want Me Back","7IoV5eGR85wUOXjninlmNu",0.541,0.646,9,-6.451,1,0.226,0.558,0.00145,0.101,0.47,84.832,234040,4
"88rising","Head In The Clouds","4xbGmVGcGnCYRTaq2gu6Qr",0.516,0.456,9,-9.242,1,0.0399,0.281,1.28e-05,0.0824,0.236,145.884,178023,4
"UMI","Love Affair","4ZaRg5Sf4TKr0YcFRLh7QJ",0.613,0.488,8,-7.37,1,0.0964,0.129,2.13e-05,0.335,0.183,172.076,190960,4
"Harry Styles","Adore You","3jjujdWJ72nww5eGnfs2E7",0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4
"Charlie Puth","That's Hilarious","0wPKDeY4fZXT6k9bzV0kx0",0.713,0.442,6,-5.909,1,0.0604,0.739,0,0.112,0.546,108.038,144934,4
"Justin Bieber","Hailey","23EquxExXkNmGCCY96P0Iu",0.462,0.745,0,-6.588,0,0.0699,0.0367,0,0.0795,0.254,100.042,193355,4
"Stephen Sanchez","Until I Found You (with Em Beihold) - Em Beihold Version","1Y3LN4zO1Edc2EluIoSPJN",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,176440,3
"The Weeknd","Die For You","2LBqCSwhJGcFQeTHMVGwy3",0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,260253,4
"Claire Rosinkranz","Sad in Hawaii","4ODUXW6HXDdiSmFVzjeKGE",0.535,0.812,2,-4.691,1,0.17,0.0142,0,0.119,0.557,156.934,151352,4
"Claire Rosinkranz","don't miss me","5MG69A9XyXDbBbeOxdR3Tl",0.796,0.727,1,-4.726,1,0.04,0.793,2.49e-05,0.0858,0.818,104.98,123950,4
"Jeremy Zucker","I'm So Happy (with BENEE)","16Fxe5DvEXRxQwcorFyaIO",0.846,0.434,5,-7.118,1,0.118,0.642,0,0.197,0.681,132.899,173366,4
"Lostboycrow","Strawberry Sunscreen - Rework","5LSev9AjbhsyKGUzKeJQzd",0.699,0.728,8,-4.005,1,0.0339,0.0409,0,0.0823,0.947,120.026,128274,4
"Gatlin","Whenever He Asks","7n28OfDDPZu4tzpKZpaHT7",0.535,0.606,9,-8.637,0,0.0713,0.357,0.000142,0.194,0.368,176.79,158520,3
"Ruel","SOMEONE ELSE'S PROBLEM","6amCnsZtvoD3qzjZIk8Tsi",0.639,0.513,9,-5.667,1,0.0403,0.281,1.53e-05,0.115,0.418,86.106,160000,4
"vaultboy","ghost stories","5mHTITG5dhliz0weC2SqYD",0.491,0.653,10,-4.872,0,0.0962,0.00746,0,0.152,0.725,106.944,164682,4
